MANUFACTURER_ID,MAKER_NAME
000b2b2ae5864429da1bfd5396d62b81c5c3998627f8d4225055858de2145adc,MERCEDES-BENZ INDIA PVT LTD.
004d1d7b0d75b326b76fc4ddc3d1c3e8d12a84e06f9fec0b18a8bc10d61385fa,M/S NEW VENKATESWARA ENGINEERING WORKS
009a5d95212e04468b6d230eab783b472bc577062f0109c7e7bd5ac94346ee04,M/S SAI DURGA ENGINEERING WORK
00b96c1bc1af6b8edb78444eded242a6a667b2fcc633e4ea02a6397ae134a740,SHIVA ENGINEERING WORKS
0223e5d6c628e8febfc0a05e71f759af463f537eed72a2eafbfa3da2613eecd1,VST TRILLERS TRACTORS LTD
02878f7074209a000d108aaa17c73a03adf585db4d3b8ef9e04793c05e10472d,VE COMMERCIAL VEHICLES LIMITED
02993ca048f0ab891927750f9b143ea512b3e52f095a9d5ddc1264bf34ba38dc,M/S TRIUMPH MOTORCYCLES INDIA PVT LTD
040001c54b2cb5be93a2a8c6cee335174d2b8a51a7df5d72e7d1e290c0b58e8a,M/S VIJAYAGANAPATHI ENGINEERING WORKS
04cbff5a1dc280223e9263c7c0ce4c61983c2d1c9275c5ecf87da4aa1ff63556,GAYAM MOTOR WORKS (P) LTD
05244a80da3ee9345f57fb37bd03999968af8613515c21cff3466fdeaecdc6d6,SRINIVASA TRAILEE WORKS NIRMAL
05649f92de14db166f30eb0c6ddf46adc531cf11957de956ee65485cfefdfe7a,"KUBOTA CORPORATION,  JAPAN"
065d2afa2281594cd3a1a48efdbb3a902c0cf9e8d8df6dc44a1cf53b738a6197,SRI SAIBABA ENGG WORKS
075c85017ac5d56325576062cd5c629105f72a55d53fe11431bf878656a56a79,M/S TOYOTA KIRLOSKAR PVT LTD
0796d986a8cea87f3b69d1fea48da74a10fbdfea2643b0a4b87d1c32a7d57ace,M/S SRI SHIVA SAI ENGINEERING WORKS
09da07aad25b1260821ceaeb4ee6836384170b0ff8da57f105693cb5b100ed1d,DANISH ENGG WORKS ADILABAD
0a23d323944cc5b8b701175bc13c9037c0deaedd35aefea6f95e12a59af22641,M/S ATUL AUTO LTD
0a4778b1bbab2625f6560159c3884e24c0165d1c0596fa092ebcc3179f289508,M/S SRI SAI RAGVENDRA AGRO INDUSTRIES MBNR
0afad3da8a0a286ef02f59f58c656dc2902099510e10d9bcf985fd1e83733a99,M/S KUBOTA CORPORATION LTD
0b1315034501e23012d961c12294a2f7df1aa6fea2ca35c1bf42db37156b3b01,M/S SRINIVASA ENGINEERING WORKS KNR
0b9a9d6c585dbf4b2f8e0bfbd15a602af73a7b156f595a891babf70be146e7f5,M/S CHARANTEJA ENGINEERING WORKS
