RTA_ID,RTA_OFFICE_CODE,RTA_REGION,RTA_STATE,RTA_CITY
02136e3cdd7c7d75e5f2f832b680a6bf19176285272946198094239f6debf006,RTA KAMAREDDY,,,
04f0345cc79e48786a0ad81c21d3d3b616ba1e9dfcceebe9c6eba548a32d6c03,RTA MAHABUBABAD,,,
0bd12869082fb9b26fbb28bd6e7564ef33a93c26b516eeaa7e0037822c2f3dc2,RTA KHAMMAM,,,
10b9d04360bd087b7676b568e317722fbac1b4252fe0829b40e96ace6da1ee6a,RTA BHADRADRI,,,
15c696d140966c113c2432f1a7c96ff80e102a4cc04f445743a975605edf6385,UNIT OFFICE BHODAN,,,
165129b9bdf203ff1424ad283db057ff1c9835a03bfa50d780165c593b83d80e,RTA RAJANNA,,,
1a8ef5cd232a54859fd56b848526ddc4cd00f903e9580114b26436c31ecc4411,RTA NALGONDA,,,
1e37918327c22985276b7ee0b2c95178fa5e74a6bf07acf51336d81b5e281787,RTA KARIMNAGAR,,,
21a6f5291b4f38100c7b366fffe34cb930318c8be61ac1cc9a605aa7a8bd72ce,UNIT OFFICE ZAHIRABAD,,,
23aa6ae77d65eb66398b4c2808e2eabfae73c8f5504a3ab011d4c6c28eab268e,RTA SURYAPET,,,
26814be2c3e9bec081006a29ded149a8b505b276b812d0a923281d8bb5933c2b,RTA JANGOAN,,,
2d41f6f20a95a0132e0b864be1fe3f7eeb1f05e1eca4df62e96533078856fe57,UNIT OFFICE KUKATPALLY,,,
31e5bfa43336bae1a638caec2584d18c35fd1af982d2f0eb274d62f2ddc5faf7,RTA-HYDERABAD-EZ,,,
31e6051a9b76abe363c058d9e84dfaf77a3901240ce1726c07146d7f2e4cf21e,RTA IBRAHIMPATNAM,,,
363ac777aa3f3e084a70939b6711b30fe1083d5b1ab8b75b05daca0954806e0f,RTA NIRMAL,,,
40160c3ad746211ae2767dfe019b14239072815478649828dc6c11baac0d07b2,RTA MAHABOOBNAGAR,,,
419f0e49c0a1396045085c9e5727ff664af8c6e3f30f82a748fd955bf8b59140,UNIT OFFICE KALWAKURTHY,,,
498b0e95c8c859765b915889d21fc81af84784a89d2638cac37b67ef9887e2fc,UNIT OFFICE SATTUPALLI,,,
4b2bf8a39108f21d2a524a0371e7445e60deb6399ec1305bf627370edff80c8d,RTA YADADRI,,,
4dce4e36d6837b3e5355fe81a9844492b2db5c47be130415dd21045e7d15f4f1,RTA RANGAREDDY,,,
65e1728eb1bbfd6dedec5c43e35f2f0b008bed0ad811ee99ed54e61a0f4189ec,UNIT OFFICE HUZURABAD,,,
6864c83f6c912707144796fbb97fafc02913d5a3a4428c6b1a845e1537dff3a5,UNIT OFFICE PARGI,,,
6a3ba51732c036023e70714ac2ff1b0db51583a00ad728083a70af3121f2a384,RTA KOMRAMBHEEM,,,
6bd088e065a7d3949dd3b075b29ce1458617d6a79be1194f2948657b352344a6,RTA VIKARABAD,,,
7093bef9b6a22a288fc7e72459ea7fa0f5a7e1f34a0d1038ab36ef3034080846,UNIT OFFICE ARMOOR,,,
